id,filename,promoting,colour,process,year,designer,orientation
,GDA_Film_Society_A1_1-0013.jpg,Film Society,Red,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0014.jpg,Film Society,Blue,Offset,,,Portrait
,GDA_Film_Society_A1_1-0015.jpg,Film Society,Orange,Screenprint,,,Landscape
,GDA_Film_Society_A1_1-0016.jpg,Film Society,Red,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0017.jpg,Film Society,Red,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0018.jpg,Film Society,Pink,Screenprint,1971,,Portrait
,GDA_Film_Society_A1_1-0019.jpg,Film Society,Green,Offset,1963,,Landscape
,GDA_Film_Society_A1_1-0020.jpg,Film Society,Red,Offset,1963,,Landscape
,GDA_Film_Society_A1_1-0021.jpg,Film Society,Multicoloured,Offset,1964,,Portrait
,GDA_Film_Society_A1_1-0022.jpg,Film Society,Red,Screenprint,,,Landscape
,GDA_Film_Society_A1_1-0023.jpg,Film Society,Green,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0024.jpg,Film Society,Gold,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0025.jpg,Film Society,Blue,Screenprint,,Grope Stupe,Portrait
,GDA_Film_Society_A1_1-0026.jpg,Film Society,Red,Screenprint,1969,,Portrait
,GDA_Film_Society_A1_1-0027.jpg,Film Society,White,Screenprint,,,Landscape
,GDA_Film_Society_A1_1-0028.jpg,Film Society,Orange,Letterpress,1957,,Landscape
,GDA_Film_Society_A1_1-0029.jpg,Film Society,Green,Letterpress,,,Landscape
,GDA_Film_Society_A1_1-0030.jpg,Film Society,Pink,Offset,1969,,Portrait
,GDA_Film_Society_A1_1-0031.jpg,Film Society,White,Screenprint,,,Landscape
,GDA_Film_Society_A1_1-0032.jpg,Film Society,Red,Screenprint,1970,,Portrait
,GDA_Film_Society_A1_1-0033.jpg,Film Society,Yellow,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0034.jpg,Film Society,Red,Offset,,,Portrait
,GDA_Film_Society_A1_1-0035.jpg,Film Society,White,Screenprint,,,Landscape
,GDA_Film_Society_A1_1-0036.jpg,Film Society,Green,Screenprint,,,Landscape
,GDA_Film_Society_A1_1-0037.jpg,Film Society,Yellow,Hand,,,Portrait
,GDA_Film_Society_A1_1-0038.jpg,Film Society,Green,Screenprint,1964,,Landscape
,GDA_Film_Society_A1_1-0039.jpg,Film Society,Red,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0040.jpg,Film Society,Pink,Screenprint,1964,,Portrait
,GDA_Film_Society_A1_1-0041.jpg,Film Society,Blue,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0042.jpg,Film Society,Yellow,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0043.jpg,Film Society,Black,Screenprint,1959,Siobhan Noonam ,Landscape
,GDA_Film_Society_A1_1-0044.jpg,Film Society,Green,Hand,,Graham Clarke,Landscape
,GDA_Film_Society_A1_1-0045.jpg,Film Society,White,Hand,,,Portrait
,GDA_Film_Society_A1_1-0046.jpg,Film Society,Red,Screenprint,1969,,Portrait
,GDA_Film_Society_A1_1-0047.jpg,Film Society,Red,Screenprint,,,Landscape
,GDA_Film_Society_A1_1-0048.jpg,Film Society,Red,Screenprint,,Peter Rea,Portrait
,GDA_Film_Society_A1_1-0049.jpg,Film Society,Blue,Screenprint,,,Landscape
,GDA_Film_Society_A1_1-0050.jpg,Film Society,Black,Screenprint,,Micheal Danist,Landscape
,GDA_Film_Society_A1_1-0051.jpg,Film Society,Yellow,Offset,,,Portrait
,GDA_Film_Society_A1_1-0052.jpg,Film Society,Red,Offset,,,Portrait
,GDA_Film_Society_A1_1-0053.jpg,Film Society,Multicoloured,Hand,,,Portrait
,GDA_Film_Society_A1_1-0054.jpg,Film Society,Purple,Letterpress,,,Portrait
,GDA_Film_Society_A1_1-0055.jpg,Film Society,Blue,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0056.jpg,Film Society,White,Letterpress,,,Portrait
,GDA_Film_Society_A1_1-0057.jpg,Film Society,White,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0058.jpg,Film Society,White,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0059.jpg,Film Society,Red,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0060.jpg,Film Society,Purple,Screenprint,,,Landscape
,GDA_Film_Society_A1_1-0061.jpg,Film Society,Green,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0062.jpg,Film Society,Red,Hand,,,Portrait
,GDA_Film_Society_A1_1-0063.jpg,Film Society,Black,Letterpress,,,Portrait
,GDA_Film_Society_A1_1-0064.jpg,Film Society,White,Letterpress,,,Portrait
,GDA_Film_Society_A1_1-0065.jpg,Film Society,Orange,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0066.jpg,Film Society,Pink,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0067.jpg,Film Society,Green,Screenprint,,,Landscape
,GDA_Film_Society_A1_1-0068.jpg,Film Society,Yellow,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0069.jpg,Film Society,Blue,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0070.jpg,Film Society,Green,Screenprint,1965,,Portrait
,GDA_Film_Society_A1_1-0071.jpg,Film Society,White,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0072.jpg,Film Society,White,Letterpress,,,Landscape
,GDA_Film_Society_A1_1-0073.jpg,Film Society,Pink,Letterpress,,,Landscape
,GDA_Film_Society_A1_1-0074.jpg,Film Society,Pink,Letterpress,,,Landscape
,GDA_Film_Society_A1_1-0075.jpg,Film Society,Yellow,Offset,,,Landscape
,GDA_Film_Society_A1_1-0076.jpg,Film Society,Brown,Letterpress,,,Portrait
,GDA_Film_Society_A1_1-0077.jpg,Film Society,White,Letterpress,,,Landscape
,GDA_Film_Society_A1_1-0078.jpg,Film Society,White,Letterpress,,,Landscape
,GDA_Film_Society_A1_1-0079.jpg,Film Society,Green,Letterpress,,,Landscape
,GDA_Film_Society_A1_1-0080.jpg,Film Society,Yellow,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0081.jpg,Film Society,White,Offset,,,Landscape
,GDA_Film_Society_A1_1-0082.jpg,Film Society,Red,Screenprint,,,Landscape
,GDA_Film_Society_A1_1-0083.jpg,Film Society,White,Letterpress,,,Landscape
,GDA_Film_Society_A1_1-0084.jpg,Film Society,Green,Offset,1964,,Portrait
,GDA_Film_Society_A1_1-0085.jpg,Film Society,Black,Offset,,,Landscape
,GDA_Film_Society_A1_1-0086.jpg,Film Society,Purple,Offset,,,Portrait
,GDA_Film_Society_A1_1-0087.jpg,Film Society,Green,Offset,1970,,Portrait
,GDA_Film_Society_A1_1-0088.jpg,Film Society,Orange,Screenprint,1968,Kevan Stafford,Portrait
,GDA_Film_Society_A1_1-0089.jpg,Film Society,Yellow,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0090.jpg,Film Society,Blue,Screenprint,,,Landscape
,GDA_Film_Society_A1_1-0091.jpg,Film Society,White,Letterpress,,,Landscape
,GDA_Film_Society_A1_1-0092.jpg,Film Society,Pink,Screenprint,,,Landscape
,GDA_Film_Society_A1_1-0093.jpg,Film Society,Blue,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0094.jpg,Film Society,Orange,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0095.jpg,Film Society,Orange,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0096.jpg,Film Society,Red,Screenprint,,,Landscape
,GDA_Film_Society_A1_1-0097.jpg,Film Society,Red,Screenprint,,,Landscape
,GDA_Film_Society_A1_1-0098.jpg,Film Society,White,Offset,,,Portrait
,GDA_Film_Society_A1_1-0099.jpg,Film Society,Blue,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0100.jpg,Film Society,Yellow,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0101.jpg,Film Society,Yellow,,,,Portrait
,GDA_Film_Society_A1_1-0102.jpg,Film Society,Multicoloured,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0103.jpg,Film Society,Black,Screenprint,,,Landscape
,GDA_Film_Society_A1_1-0104.jpg,Film Society,White,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0105.jpg,Film Society,Pink,Offset,,,Landscape
,GDA_Film_Society_A1_1-0106.jpg,Film Society,Blue,,,,Portrait
,GDA_Film_Society_A1_1-0107.jpg,Film Society,Orange,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0108.jpg,Film Society,Blue,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0109.jpg,Film Society,Green,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0110.jpg,Film Society,Multicoloured,Offset,,,Portrait
,GDA_Film_Society_A1_1-0111.jpg,Film Society,Pink,Screenprint,,,Landscape
,GDA_Film_Society_A1_1-0112.jpg,Film Society,Blue,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0113.jpg,Film Society,Black,Screenprint,,,Landscape
,GDA_Film_Society_A1_1-0114.jpg,Film Society,Black,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0115.jpg,Film Society,Black,Screenprint,,,Landscape
,GDA_Film_Society_A1_1-0116.jpg,Film Society,Gold,Screenprint,,,Landscape
,GDA_Film_Society_A1_1-0117.jpg,Film Society,Black,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0118.jpg,Film Society,Black,Offset,,Phillipe Pham,Portrait
,GDA_Film_Society_A1_1-0119.jpg,Film Society,Black,Screenprint,1966,,Portrait
,GDA_Film_Society_A1_1-0120.jpg,Film Society,Black,Offset,,,Landscape
,GDA_Film_Society_A1_1-0121.jpg,Film Society,Black,Screenprint,,John Fenton Brown,Landscape
,GDA_Film_Society_A1_1-0122.jpg,Film Society,Black,Offset,,,Landscape
,GDA_Film_Society_A1_1-0123.jpg,Film Society,Black,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0124.jpg,Film Society,Black,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0125.jpg,Film Society,Red,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0126.jpg,Film Society,Black,Screenprint,,,Landscape
,GDA_Film_Society_A1_1-0127.jpg,Film Society,Red,Letterpress,,,Landscape
,GDA_Film_Society_2_A1_2-0002.jpg,Film Society,Blue,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0003.jpg,Film Society,Brown,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0004.jpg,Film Society,Black,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0005.jpg,Film Society,Brown,Hand,,John Sewell,Portrait
,GDA_Film_Society_2_A1_2-0006.jpg,Film Society,Brown,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0007.jpg,Film Society,White,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0008.jpg,Film Society,White,Offset,,,Portrait
,GDA_Film_Society_2_A1_2-0009.jpg,Film Society,White,Offset,,,Portrait
,GDA_Film_Society_2_A1_2-0010.jpg,Film Society,White,Offset,,,Portrait
,GDA_Film_Society_2_A1_2-0011.jpg,Film Society,White,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0012.jpg,Film Society,Orange,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0013.jpg,Film Society,White,Offset,,,Portrait
,GDA_Film_Society_2_A1_2-0014.jpg,Film Society,Red,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0015.jpg,Film Society,Green,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0016.jpg,Film Society,Black,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0017.jpg,Film Society,Orange,Hand,,,Landscape
,GDA_Film_Society_2_A1_2-0018.jpg,Film Society,Blue,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0019.jpg,Film Society,Red,Screenprint,1969,,Landscape
,GDA_Film_Society_2_A1_2-0020.jpg,Film Society,Red,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0021.jpg,Film Society,Blue,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0024.jpg,Film Society,White,Letterpress,,,Landscape
,GDA_Film_Society_2_A1_2-0025.jpg,Film Society,Orange,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0026.jpg,Film Society,Multicoloured,Screenprint,1968,,Portrait
,GDA_Film_Society_2_A1_2-0027.jpg,Film Society,Brown,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0028.jpg,Film Society,Red,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0029.jpg,Film Society,Orange,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0031.jpg,Film Society,White,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0032.jpg,Film Society,Yellow,Screenprint,1969,,Portrait
,GDA_Film_Society_2_A1_2-0033.jpg,Film Society,White,Screenprint,1963,,Portrait
,GDA_Film_Society_2_A1_2-0034.jpg,Film Society,White,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0035.jpg,Film Society,Blue,Letterpress,,,Landscape
,GDA_Film_Society_2_A1_2-0036.jpg,Film Society,Orange,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0037.jpg,Film Society,Orange,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0039.jpg,Film Society,Orange,Screenprint,,Brian Denyer,Portrait
,GDA_Film_Society_2_A1_2-0041.jpg,Film Society,Pink,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0042.jpg,Film Society,Orange,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0043.jpg,Film Society,Purple,Screenprint,,Woodcork,Portrait
,GDA_Film_Society_2_A1_2-0044.jpg,Film Society,Blue,Offset,,,Portrait
,GDA_Film_Society_2_A1_2-0045.jpg,Film Society,Brown,Screenprint,1961,,Portrait
,GDA_Film_Society_2_A1_2-0046.jpg,Film Society,White,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0047.jpg,Film Society,Image,Offset,1959,,Landscape
,GDA_Film_Society_2_A1_2-0048.jpg,Film Society,Orange,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0049.jpg,Film Society,Blue,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0050.jpg,Film Society,Orange,Offset,,,Portrait
,GDA_Film_Society_2_A1_2-0051.jpg,Film Society,White,Screenprint,1959,,Portrait
,GDA_Film_Society_2_A1_2-0052.jpg,Film Society,Red,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0053.jpg,Film Society,Red,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0054.jpg,Film Society,Brown,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0055.jpg,Film Society,Brown,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0056.jpg,Film Society,Orange,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0057.jpg,Film Society,White,Screenprint,,John Fenton Brown,Portrait
,GDA_Film_Society_2_A1_2-0058.jpg,Film Society,Black,Screenprint,1953,Jordan Searea,Portrait
,GDA_Film_Society_2_A1_2-0059.jpg,Film Society,Brown,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0060.jpg,Film Society,White,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0061.jpg,Film Society,Brown,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0062.jpg,Film Society,Brown,,1952,Bruce Lacey,Landscape
,GDA_Film_Society_2_A1_2-0064.jpg,Film Society,Red,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0065.jpg,Film Society,Blue,Hand,,,Landscape
,GDA_Film_Society_2_A1_2-0067.jpg,Film Society,Red,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0068.jpg,Film Society,Orange,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0070.jpg,Film Society,Yellow,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0073.jpg,Film Society,Brown,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0074.jpg,Film Society,Brown,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0075.jpg,Film Society,Red,Linocut,,,Landscape
,GDA_Film_Society_2_A1_2-0076.jpg,Film Society,White,Hand,1952,,Portrait
,GDA_Film_Society_2_A1_2-0077.jpg,Film Society,Brown,,,,Portrait
,GDA_Film_Society_2_A1_2-0078.jpg,Film Society,Orange,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0080.jpg,Film Society,Multicoloured,Offset,,,Portrait
,GDA_Film_Society_2_A1_2-0082.jpg,Film Society,Green,Offset,,,Portrait
,GDA_Film_Society_2_A1_2-0083.jpg,Film Society,Pink,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0084.jpg,Film Society,Yellow,Offset,,,Portrait
,GDA_Film_Society_2_A1_2-0087.jpg,Film Society,Green,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0088.jpg,Film Society,Red,Screenprint,1979,,Portrait
,GDA_Film_Society_2_A1_2-0091.jpg,Film Society,Red,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0093.jpg,Film Society,White,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0095.jpg,Film Society,Blue,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0097.jpg,Film Society,Yellow,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0099.jpg,Film Society,Green,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0100.jpg,Film Society,Purple,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0101.jpg,Film Society,Red,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0102.jpg,Film Society,Yellow,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0104.jpg,Film Society,White,Letterpress,1986,,Landscape
,GDA_Film_Society_2_A1_2-0105.jpg,Film Society,Blue,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0106.jpg,Film Society,White,Screenprint,,,Portrait
,GDA_Film_Society_2_A1_2-0107.jpg,Film Society,Image,Offset,1969,,Landscape
,GDA_Film_Society_2_A1_2-0108.jpg,Film Society,Black,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0109.jpg,Film Society,Black,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0110.jpg,Film Society,Purple,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0111-1.jpg,Film Society,Red,Screenprint,1969,,Landscape
,GDA_Film_Society_2_A1_2-0112-1.jpg,Film Society,Black,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0113-1.jpg,Film Society,Red,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0114-1.jpg,Film Society,Red,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0115-1.jpg,Film Society,Red,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0116-1.jpg,Film Society,Black,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0117.jpg,Film Society,Pink,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0118.jpg,Film Society,Yellow,Screenprint,1968,,Landscape
,GDA_Film_Society_2_A1_2-0119.jpg,Film Society,Red,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0120.jpg,Film Society,Black,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0122.jpg,Film Society,Brown,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0123.jpg,Film Society,Black,Screenprint,,,Landscape
,GDA_Film_Society_2_A1_2-0124.jpg,Film Society,Green,Screenprint,,,Landscape
